sample_ID	sample_type	individual	sex	age	collection_date
100XPosDilute	poscontrol	ctrl		NA	NA
10XPosDilute	poscontrol	ctrl		NA	NA
MB000012	genital	0K1	m	7	10/20/16
MB000014	rectal	0K1	m	7	10/20/16
MB000017	buccal	0K1	m	7	10/20/16
MB000031	rectal	0V5	f	1	10/18/16
MB000034	buccal	0V5	f	1	10/18/16
MB000046	genital	2Q2	f	3	10/19/16
MB000048	rectal	2Q2	f	3	10/19/16
MB000051	buccal	2Q2	f	3	10/19/16
MB000067	genital	3P2	m	4	10/20/16
MB000069	rectal	3P2	m	4	10/20/16
MB000072	buccal	3P2	m	4	10/20/16
MB000084	genital	3Q5	m	3	10/19/16
MB000086	rectal	3Q5	m	3	10/19/16
MB000089	buccal	3Q5	m	3	10/19/16
MB000101	genital	4L8	f	6	10/21/16
MB000103	rectal	4L8	f	6	10/21/16
MB000106	buccal	4L8	f	6	10/21/16
MB000122	genital	4N5	f	5	10/20/16
MB000124	rectal	4N5	f	5	10/20/16
MB000127	buccal	4N5	f	5	10/20/16
MB000143	genital	4N7	m	5	10/20/16
MB000145	rectal	4N7	m	5	10/20/16
MB000148	buccal	4N7	m	5	10/20/16
MB000162	genital	6I4	m	7	10/20/16
MB000164	rectal	6I4	m	7	10/20/16
MB000167	buccal	6I4	m	7	10/20/16
MB000179	genital	6R4	f	3	10/20/16
MB000181	rectal	6R4	f	3	10/20/16
MB000184	buccal	6R4	f	3	10/20/16
MB000198	genital	7L0	f	6	10/19/16
MB000200	rectal	7L0	f	6	10/19/16
MB000203	buccal	7L0	f	6	10/19/16
MB000217	genital	9O0	m	4	10/20/16
MB000219	rectal	9O0	m	4	10/20/16
MB000222	buccal	9O0	m	4	10/20/16
MB000234	genital	I174L8	m	0	10/21/16
MB000236	rectal	I174L8	m	0	10/21/16
MB000239	buccal	I174L8	m	0	10/21/16
MB100043	genital	9N0	f	5	10/21/16
MB100045	rectal	9N0	f	5	10/21/16
MB100048	buccal	9N0	f	5	10/21/16
MB100094	genital	1R2	m	3	10/21/16
MB100096	rectal	1R2	m	3	10/21/16
MB100099	buccal	1R2	m	3	10/21/16
MB100145	genital	9P6	m	4	10/21/16
